_id,date,opinion,source
62666b9985333f154f135eeb,19/11/2017,"variable, dynamic, new tech, interesting, supportiv, less interesting for international profile",glassdoor
62666b9985333f154f135eec,04/08/2016,"Growth and lots of events to learn - Stable income - Conferences and meetups are possible to attend - Company car but be careful with the car policy, so much potential in the group, but the companies wont work together for the common interest ,lots of promises, but only after 6 months they look into them and adjust them to their likings",glassdoor
62666b9985333f154f135eed,13/02/2016,"Only an absolute minimum of hierarchy which results in almost no overhead. Down-to-earth culture, Career options at some point become rather limited.",glassdoor
62666b9985333f154f135eee,11/11/2015,"A lot of independence is given to the employees, some of the companies are at the edge of technology which is a great thing. Lots of events organized and plenty of benefits to pick from, Salary increase are considerably low and if you don't ask, you don't get. You get a new car every four years which is a long time but by no means an exception in Belgium. Oh and no Mercedes.",glassdoor
62666b9985333f154f135eef,14/09/2015,"Good place to be in, The structure of the internal companies is too complex and can cause communication problems at least",glassdoor
62666b9985333f154f135ef0,11/09/2015,"Salary is slightly higher, free food during lunch and all in all some of the colleagues are very nice to work with. Lots of opportunities to launch ideas as new competence centers or re-shift your career if you desire., Although not openly discussed leadership of the units obviously foster an insane level of internal competitiveness. People are encouraged to do actions that are borderline legal when doing contract negotiations. Leadership has far to less respect for their employees and have no problem abusing their position on the employment market to brake ones career if you go against their standards. I took me some time to realize but I'm happy I left when I could.",glassdoor
62666b9985333f154f135ef1,28/03/2015,"Relaxing collaberation with collegues and peers. Good atmosphere to work in, Not clear about salary raises, bonus,.. Not a high starting salary.",glassdoor
62666b9985333f154f135ef2,31/01/2015,"Lots of support for your own ideas from within, open door policy to get feedback, Lots of politics, nothing is given, you have to get it yourself. Work hard and demand what you deserve.",glassdoor
62666c71029163d0a5bc411b,25/04/2020,Very nice office building and a great place to work,cronos
62666c71029163d0a5bc411c,25/06/2021,"Great place, great people!",cronos
62666c71029163d0a5bc411d,25/04/2017,Great work environment. All very smart people.,cronos
62666c71029163d0a5bc411e,25/04/2019,Lots of talented people in once place.,cronos
62666c71029163d0a5bc411f,25/04/2019,One big family of creative people,cronos
62666c71029163d0a5bc4120,25/04/2018,Very good workplace for IT.,cronos
62666c71029163d0a5bc4121,25/04/2018,Great place to work.,cronos
62666c71029163d0a5bc4122,25/04/2020,Cool office location,cronos
62666c71029163d0a5bc4123,25/04/2017,Only finding the right office is a challenge.,cronos
62666c71029163d0a5bc4124,25/04/2021,TOP IT-firma !,cronos
62666c71029163d0a5bc4125,25/04/2021,The Best,cronos
62666c71029163d0a5bc4126,25/04/2019,Best Place to Work,cronos
62666c71029163d0a5bc4127,25/04/2021,Super service,cronos
62666c71029163d0a5bc4128,25/04/2019,My employer,cronos
62666c71029163d0a5bc4129,25/01/2022,"(Translated by Google) Founded in 1991, De Cronos Groep has evolved from a one-man company to a larger group with 7,000 employees. Originally, the group was founded for and by technology people with the explicit intention of helping those people grow, if desired, up to and including entrepreneurship.
 In the meantime, this mission statement has been broadened and the group has been enriched with people from the creative sector who communicate well with the 'business people' and who work perfectly together with De Cronos Groep IT people to arrive at the most creative and technologically best solution for customers. .
 The group is therefore continuously looking for creative, driven people and is always willing to listen to innovative ideas from potential entrepreneurs.
 (Original)
 Opgericht in 1991 is De Cronos Groep geëvolueerd van een éénmansbedrijf naar een grotere groep met 7000 medewerkers. Oorspronkelijk werd de groep opgericht voor en door technologie mensen met de uitdrukkelijke bedoeling om die mensen te helpen doorgroeien indien gewenst tot en met het ondernemerschap toe.
 Ondertussen is dit mission statement verbreed en is de groep verrijkt met mensen uit de creatieve sector die goed communiceren met de ‘business mensen’ en die perfect samenwerken met De Cronos Groep IT-mensen om tot de meest creatieve en technologisch beste oplossing voor klanten te komen.
 De groep is dan ook continu op zoek naar creatieve, gedreven mensen en is altijd bereid te luisteren naar innovatieve ideeën van potentiële ondernemers.",cronos
62666c71029163d0a5bc412a,25/04/2020,"(Translated by Google) Surprise our loyal IT partners, voila! You will no longer forget Colleagues 2.0 :-) # ICT @ themovies
 (Original)
 Onze trouwe ICT partners even verassen, voila! De Collega’s 2.0 zullen jullie niet meer vergeten :-) #ICT@themovies",cronos
62666c71029163d0a5bc412b,18/04/2022,Heel vriendelijke mensen!,cronos
62666c71029163d0a5bc412c,25/04/2021,"(Translated by Google) Very friendly, pleasant people, warmly welcomed and felt very welcome and in the right way motivated to go all the way because should there be something not clear they will be there to support and encourage me to to redo an extra online ""training"" so that it is also properly mastered.
 (Original)
 Heel vriendelijke, aangename mensen, hartelijk onthaald en voelde me erg welkom en op de juiste manier gemotiveerd om er helemaal voor te gaan, want moest er iets zijn wat niet duidelijk is, zullen ze er zijn om me te ondersteunen en aan te moedigen om er een extra online ”scholing” over te doen zodat ook daar een goede beheersing van komt.",cronos
62666c71029163d0a5bc412d,25/12/2021,"(Translated by Google) A top-notch IT company, many employees and a family atmosphere.
 (Original)
 Op en top IT bedrijf, veel werknemers en heerst daar een familiale sfeer.",cronos
62666c71029163d0a5bc412e,25/04/2021,"(Translated by Google) Cronos helps you with any IT question. Trustworthy partner.
 (Original)
 Cronos helpt je met om het even welke ICT vraag. Betrouwbare partner.",cronos
62666c71029163d0a5bc412f,25/12/2021,Gehackt,cronos
62666c71029163d0a5bc4130,25/04/2020,"(Translated by Google) Having worked for Cronos for 7 years, it really can't say a bad word about it
 (Original)
 7 jaar voor Cronos gewerkt, kan er echt geen slecht woord over zeggen",cronos
62666c71029163d0a5bc4131,25/04/2021,"(Translated by Google) Unimaginable and innovative company!
 (Original)
 Ondenemend en innovatief bedrijf!",cronos
62666c71029163d0a5bc4132,25/12/2021,"(Translated by Google) A top-notch IT company, many employees and a family atmosphere.
 (Original)
 Op en top IT bedrijf, veel werknemers en heerst daar een familiale sfeer.",cronos
62666c71029163d0a5bc4133,25/04/2020,"(Translated by Google) Very cool project. Gained a lot of inspiration. Top!
 (Original)
 Heel tof project. Veel inspiratie opgedaan. Top!",cronos
62666c71029163d0a5bc4134,25/04/2019,Best Place to Work,cronos
62666c71029163d0a5bc4135,25/04/2019,Super service,cronos
62666c71029163d0a5bc4136,25/04/2019,My employer,cronos
62666e20aec522f6e78f7e3f,17//022022,"Salary is good. Comfortable place, no inconveniences. Nothing wrong with it. ",glassdoor
62666e20aec522f6e78f7e40,10/10/2021,"Good atmosphere, good teams on interesting projects, salaries are poor, missions are not very detailed, no professional development",glassdoor
62666e20aec522f6e78f7e41,25/06/2021,"Two days of linkedin training are required otherwise they leave you alone, the salary does not follow",glassdoor
62666e20aec522f6e78f7e42,27/12/2018,"A very flexible structure, much more flexible than a more traditional company. As soon as something happens against you, this flexibility will be used against you",glassdoor
62666e20aec522f6e78f7e43,06/02/2016,"Diversity,Solving Problems,Continuing Education, Interns take a dim view of an outside consultant",glassdoor
62667609029163d0a5bc4137,29/10/2019,"Top employer with attention to the person behind the employee Atmosphere, flexibility and taking into account the home situation are the best qualities. Everyone counts here! Really can't find anything negative to say about This employer! Everything positive",stepstone
62667609029163d0a5bc4138,18/05/2017,"Collections Home work, flexible hours, car, freedom Atmosphere between colleagues, better management",stepstone
62667609029163d0a5bc4139,15/03/2016,"
springboard for my professional career Autonomy, working atmosphere, flexible hours information and internal communication",stepstone
62667609029163d0a5bc413a,04/06/2018,"
CRONOS International Flexible hours, Salary, Continuous training, Company stability A little more regular contact with staff to take stock of the work level (Appraisal report)",stepstone
62667609029163d0a5bc413b,30/05/2018,"
Fascinating career at Cronos. Happy employee for more than 10 years! No nonsense culture, flexibility, pleasant working atmosphere, sufficient challenges Nothing for me. It's perfectly like that.",stepstone
62667609029163d0a5bc413c,29/05/2018,"
Top Company to work Work atmosphere, flexible working hours, commuting, nice job Work-life balance of colleagues",stepstone
62667609029163d0a5bc413d,29/05/2018,"
Pleasant cooperation as a whole I think the concept of a large cluster with many small specialized companies that work well together is great and it has certainly already proved its worth. I don't expect much improvement. It is said that you will not earn the most with Cronos.",stepstone
62667609029163d0a5bc413e,24/05/2018,Atmosphere and colleagues. Salary and advantages.	Trainings are mainly on the job. Would like to have more opportunities to follow official courses		,stepstone
62667609029163d0a5bc413f,23/05/2018,"
Top company for enterprising IT consultants work atmosphere management structure salary colleagues appreciation files training career guidance working hours leave",stepstone
62667609029163d0a5bc4140,25/05/2018,"
reviewing last job The challenges in the projects assigned Nothing specific, it was ok",stepstone
62667609029163d0a5bc4141,17/05/2018,"
Enjoyable work, little challenge Flexibility and remuneration Career opportunities and better development of employees",stepstone
62667d12aec522f6e78f7e62,14/02/2022,"Company car, benefits, network with tons of companies/people, training opportunities, Sinterklaasfeest, Career path is very horizontal",glassdoor
62667d12aec522f6e78f7e63,16/02/2022,"fun environment (innovative, progressive, inclusive), complex internal structures related to cluster and sub-clusters",glassdoor
62667d12aec522f6e78f7e64,5/02/2022,"Flat structure, You determine the course of your career yourself, The many sub-companies ensure that you can easily change employers while still working for Cronos, Opportunity to start your own business under Cronos without much risk, Performance reviews and the associated salary negotiations are often a measure of nothing. The amounts are already fixed in advance. If you go all out for a higher raise you get EUR 50 more that year and EUR 50 less the year after. However, this is the case in every larger company",glassdoor
62667d12aec522f6e78f7e65,25/01/2022,"Entrepreneurship is rewarded & independent autonomy, Wages are not market based unfortunately",glassdoor
62667d12aec522f6e78f7e66,1/02/2022,"OK salary, Many opportunities, On another you earn more..., Career opportunities are relatively limited because you end up working for a small company within the group",glassdoor
62667d12aec522f6e78f7e67,21/01/2022,"great colleagues, dynamic atmosphere, lots of variety, difficult to negotiate salary, expectations of recruitment not always realistic",glassdoor
62667d12aec522f6e78f7e68,13/01/2022,"Atmosphere, open, nice colleagues, cronos benefits, Low wages compared to other companies. Difficult to negotiate",glassdoor
62667d12aec522f6e78f7e69,10/12/2021,"Opportunities are available for entrepreneurship Working with people of high technical expertise level, Organizational complexity Collaboration among themselves not always easy",glassdoor
62667d12aec522f6e78f7e6a,30/10/2021,"You can really develop yourself here, nice colleagues, dynamic atmosphere and a lot of variety. Here they have an eye for what you do and say, but that is the case in the entire IT sector.",glassdoor
62667d12aec522f6e78f7e6b,7/09/2021,"A lot of knowledge spread over different companies, Because you are often with the customer, you can benefit little from the facilities that cronos itself offers in the headquarters",glassdoor
62667d12aec522f6e78f7e6c,3/09/2021,"Flexible, good work-life balance, professional helpful admin, company car with fuel card, pleasant atmosphere, Few minuses, for those who want to earn a lot this may not be the right place",glassdoor
62667d12aec522f6e78f7e6d,2/08/2021,"No top-down, but bottom-up structure. Inspiring work environment. Good working conditions. Many colleagues grounded in good pleasant climate. There is room for self-development., Slightly rigid, as a consultant you are constantly on the job for different clients. Employment varies from month to month. Little else to say.",glassdoor
62667d12aec522f6e78f7e6e,29/07/2021,"there is very good support in starting your own business you get a lot of responsibility a very innovative environment to work in, you have to be able to find your own way and you are obliged to take initiative which is not easy for everyone",glassdoor
62667d12aec522f6e78f7e6f,20/07/2021,"Loose atmosphere, pleasant, empathy, group feeling, small scale, salary, growth opportunities, juniors, bureaucracy, customers",glassdoor
62667d12aec522f6e78f7e70,24 jun. 2021,correct salary good benefits nice colleagues (depends of course on the subcompany),glassdoor
62667d12aec522f6e78f7e71,2/07/2021,"Cool atmosphere and good to gain experience, Wage is not super and difficult negotiation for raise",glassdoor
62667d12aec522f6e78f7e72,10/05/2021,"work life balance personal development large customer portfolio name recognition, being able to work with little structure set up your own structure and you are largely responsible for your own career path, there is no predefined path This is both an advantage and a disadvantage",glassdoor
62667d12aec522f6e78f7e73,5/05/2021,"Company car, Correct compensation (for starters), Horizontal company structure, Career opportunities and advancement opportunities are limited, Go-with-the-flow mentality.",glassdoor
62667d12aec522f6e78f7e74,12/05/2021,"Many opportunities for advancement, The offer of additional legal benefits",glassdoor
62667d12aec522f6e78f7e75,21/03/2021,"Very diverse good for their employees, Few advancement opportunities, salary is a bit lower",glassdoor
62667d12aec522f6e78f7e76,16/03/2021,"Friendly staff with passion for IT, Sometimes no work/customers. Long time on bench.",glassdoor
62667d12aec522f6e78f7e77,9/03/2021,"Honest, many opportunities, many advancement opportunities, Smaller entities, corporate structures are still being sought",glassdoor
62667d12aec522f6e78f7e78,8/03/2021,"Great company that has a lot of extras in facility management, Cronos has several sub companies. You have to be somewhat right to land at a good one, many are government mentality",glassdoor
62667d12aec522f6e78f7e79,17/02/2021,"Within Cronos you will be given a lot of autonomy and opportunities whereby you will be coached in entrepreneurship, You must certainly take the initiative yourself",glassdoor
62667d12aec522f6e78f7e7a,15/01/2021,"flexibility ownership training IT remuneration, home work little structure long distance",glassdoor
62667d12aec522f6e78f7e7b,18/01/2021,"Huge knowledge, large network, interesting variety of projects, The pay is lower than usual if you are starter",glassdoor
62667d12aec522f6e78f7e7c,6/12/2020,"Nice colleagues, a lot of freedom, Office facilities, Poor management, low wages, many promises but few realizations",glassdoor
62667d12aec522f6e78f7e7d,21/10/2020,"There is a wide range of IT solutions, The internal competition is high",glassdoor
62667d12aec522f6e78f7e7e,30/10/2020,"Useful things learned. Close to home, Very bad employer, scolds employees, some people who have contracts they fire before they start, employees are constantly replaced by other employees. They try to make their employees perform a whole bunch of overtime without compensation.",glassdoor
62667d12aec522f6e78f7e7f,26/08/2020,"Young and dynamic team, lots of growth potential, Little guidance for starters, sometimes grows too fast",glassdoor
62667e87029163d0a5bc4143,17/7/2017,"
Fun Work culture and office but job security is an issue. Fun Work culture and Good Place to gain knowledge but job security is an issue , if you are in an location then you are good and safe if not then it will be difficult. Fun Work culture and Good Place to gain knowledge but job security is an issue , if you are in an location then you are good and safe if not then it will be difficult. Good work culture Management is not good Management is not good",indeed
62667e87029163d0a5bc4144,18/11/2021,"Great. Me, I've been with the company for a year, it's great, the salary on a uniform day is very good, the bosses came to the school where I work. Me, I've been with the company for a year, it's great, the salary on a uniform day is very good, the bosses came to the school where I work. Excellent Nothing. Anything .",indeed
62667e87029163d0a5bc4145,16/3/2021,"
Pleasant atmosphere Very good job especially for those looking for a first job Very good job especially for those looking for a first job Tips You have to be careful when you rest You have to be careful when you rest",indeed
62667e87029163d0a5bc4146,23/11/2019,Relaxed work environment Good atmosphere and with attention to the worker and their needs. Most of the jobs have to be moved and the cost of travel is not paid Good atmosphere and with attention to the worker and their needs. Most of the jobs have to be moved and travel expenses are not paid Good communication Little work Little work,indeed
62667e87029163d0a5bc4147,21/8/2019,"
very good work environment a very good company and attentive to the employees in all senses a very good company and attentive to the employees in all senses",indeed
62667e87029163d0a5bc4148,11/1/2018,"
Pleasant to work It was good to have this experience, pleasant company to work It was good to have this experience, pleasant company to work",indeed
62667e87029163d0a5bc4149,28/4/2017,"Company not responsible Company not responsible. I learned a lot, but there is no commitment to an employee. Company not responsible. I learned a lot, but there is no commitment to an employee.",indeed
62667e87029163d0a5bc414a,7/1/2015,"
pleasant as it was my first job have nothing to complain about and a very good large company to work for. as it was my first job, I have nothing to complain about and a very good company to work for. meal at the company",indeed
62667e87029163d0a5bc414b,9/7/2014,"QUIET WORKING ENVIRONMENT A LITTLE YEARS HAVE PASSED, BUT THE THING THAT HAS REMAINED OF THIS COMPANY IS THAT IT HAS MADE ME UNDERSTAND THAT UNTIL IT'S YOUR MOMENT YOU CAN DO EVERYTHING YOU WANT, WHEN FALL IN LOVE ALSO IF YOU DO YOUR JOB WELL NOBODY WILL CONSIDER YOU A LITTLE YEARS PASSED, BUT THE THING THAT HAS REMAINED OF THIS COMPANY IS THAT IT HAS MADE ME UNDERSTAND THAT AS LONG IT IS YOUR TIME YOU CAN DO EVERYTHING YOU WANT, WHEN FALL IN LOVE PASSES EVEN IF YOU DO YOUR JOB WELL NO ONE WILL CONSIDER YOU",indeed
62667e87029163d0a5bc414c,16/6/2014,"particular working environment not very welcoming but stimulating work even if difficult and above all little organization on the part of the staff, fairly democratic pay (no VAT number) but too much instability not very welcoming but stimulating although difficult work and above all little organization on the part of the staff, it pays enough democratic (no VAT) but too much instability immediate work too much confusion too much confusion",indeed
62667e87029163d0a5bc414d,23/4/2014,"
Great place to learn Lots of professionals who allowed me to learn the basics and then move on. Lots of professionals who allowed me to learn the basics and then continue on my way.",indeed
62667e87029163d0a5bc414e,4/3/2014,"good good, I think they are happy with what I did for the company and with my work done. good, I think they are happy with what I do for the company and with my work done.",indeed
62667e87029163d0a5bc414f,15/11/2013,"
flexible work environment work in raf with half-day shifts work in raf with half-day shifts to manage critical cases sometimes tense relationships with colleagues sometimes tense relationships with colleagues",indeed
62667e87029163d0a5bc4150,13/04/2022,"The atmosphere in the office is great.. This obviously from the team we are part of...
Evolution within the company, not very faithful to their promises.",stepstone
626697fed1d2aaa8ee973c3d,09/02/2022,"Competitive salary and some nice extras. Helpful office staff. Stable job as you are employed full-time by Cronos, even the client ends your contract, you are back on the bench until they find another suitable client and project you fit it. Diversity of colleagues, multi-nationals. Home internet subscription, mobile subscription, meal vouchers are included in the salary (cash), public transport abonnement, Treated consultants working on-site (at EU institutions) poorer than the ones sitting at the HQ. No offers for career developments, no trainings offered, only Linkedin Learning courses which you had to take while your clients were not operating. Hiring unqualified staff sometimes could ruin the whole team. (eg: hiring so-called senior dev while the person was clearly unqualified and eventually left the company and the project with a lot of mess behind for the rest of the team to fix). But this was before they rebranded themselves to Cronos Europa. Hopefully things changed after the new management.",glassdoor
626697fed1d2aaa8ee973c3e,23/03/2019,"the helpdesk support who are sent to the field in the European institutions, are treated as less than nothing, work at the line, without any possibility of evolution, the stress is enormous and the work environment is not very friendly, the colleagues are horrible, low salary",glassdoor
626697fed1d2aaa8ee973c3f,17/012/2021,"Since the management changed, they are trying to make the company more equal for all the employees, with better structures and communication. A lot of opportunities for IT employees and freelancers within the EU institutions. Permanent contracts for employees. Flex Income Plan, Like all the rest of consultancies, and maybe fewer cons.",glassdoor
626697fed1d2aaa8ee973c40,08/09/2021,"This is a consultancy company that works mainly for the European institutions through the framework contract that they have. Working for the institutions is good especially if you want later pursuit a career as a civil servant , this could be a good starting step into the EU buble. Usually it is possible to work as a Freelancer or Employee i would advice freelance because cronos adds nothing to the table if you are competent in what you do, in IT you won't be out of job and the European Institutions are a very stable client. Position in the European Institutions. Overall if a career withing the EU Buble is what you seek, it might be a suitable company if you work freelance,Lack of Transparency, do not explain how things work, no career support nothing. No Culture whatsoever Poor on boarding, as said before nothing is really clear with them. As with other consultancy companies at the end of the day, you are a number for them. Low Salary if you are an employee. Adds nothing in terms of value, only if the contract with the client expires they will find something for you and you won't be out of a job. European Institutions in technological terms are behind in many aspects and IT is not their priority, but this depends of where you are placed",glassdoor
626697fed1d2aaa8ee973c41,08/01/2020,"Always takes care of your professional status, There is no negative point that I have experienced, so far",glassdoor
626697fed1d2aaa8ee973c42,20/11/2019,They respect you and as an employee you are fully insured. Permanent contracts A lot of opportunities.Some times you have to push a little harder to get what you want,glassdoor
626697fed1d2aaa8ee973c43,14/04/2019,"Multicultural and challenging environment, Nothing, this company is great",glassdoor
626697fed1d2aaa8ee973c44,03/05/2018,"Smooth collaboration procedures, minimum interaction, pays on time, helpful. No other interesting clients apart from European institutions",glassdoor
626697fed1d2aaa8ee973c45,04/07/2016,"(As consultant in external premises), Offers number of positions in European Institutions, Brings no support for career advice and growth, Provides almost no information about company news, status, contracts (= lack of transparency), Even by changing position, getting higher salary is very difficult",glassdoor
62669967d1d2aaa8ee973c46,09/02/2022,"good wages, have some benefits too, good communication",glassdoor
62669967d1d2aaa8ee973c47,23/03/2019,"the helpdesk support who are sent to the field in the European institutions, are treated as less than nothing, work at the line, without any possibility of evolution, the stress is enormous and the work environment is not very friendly, the colleagues are horrible, low salary",glassdoor
62669b6cd1d2aaa8ee973c48,13/03/2019,"Fun, lively company with a focus on delivering great products. A Typical day at work: plan posts for the day/coming days, read up on emails and social media posts, discuss PR & marketing strategies, planning for our Game Expo: 1UP, making visuals for posts to share, talking with the devs and giving feedback on their games What I've learned: new tools to use, news skills (photoshop, Premiere...), content planning. putting deadlines on others to get my content in time. Great superior, doesn't not feel like a typical boss/employee relationship. Open to suggestions and feedback. Flexible hours, expecting only for your job to be done by reasonable deadlines, fun colleagues who like to chat during lunch and play a game afterwards. Fun group to hang out with. managing my time. there is a lot to be done and I always see ways to improve my work so the stopping point is hard to determine. Bybthe very nature of the job (social media) it also means I have to put in some work outside of office hours, Working with a great team, in a company working on VIDEO GAMES: my lifelong dream. It's a culture I've been invested in since pretty much forever and now I get to work in the industry. Flexible hours, Extra benefits (car, phone, laptop), the actual job is fun to do, subpar public transport connection",indeed
6267b8aad8b9a18b94fbf4b5,6/12/2018,great employer. Started working straight out of school and still satisfied 10 years later,facebook
6267b8aad8b9a18b94fbf4b6,6/10/2018,"very dynamic group, all companies are inspired by their founder!",facebook
6267b8aad8b9a18b94fbf4b7,9/12/2017,"Cronos isn't in the news much because it's going so well",facebook
6267b8aad8b9a18b94fbf4b8,19/10/2016,"It's fantastic how De Cronos Groep supports entrepreneurship.",facebook
