id,company,date,opinion,rating,source,score_sentiment,score,rating_sentiment,rating op 100,score op 100,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,roberta_neg,roberta_neu,roberta_pos
24,Go4Logistics,29/04/2017,"Innovative, Young and Excellent in Logistics Management Software",5.0,google,positive,0.5333333333333333,positive,100,75,0.0,0.476,0.524,0.765,positive,0.007006075233221054,0.15142208337783813,0.8415718078613281
25,Headcount,29/04/2020,"A few years ago I came across one of the Cronos clusters via Headcount.
I first had a conversation with Headcount itself. After the conversation, the Headcount consultant immediately knew what I wanted and she was able to outline my profile perfectly.
During the application procedure I was also very professionally guided and I received feedback from her very quickly.
For me a high-quality selection and recruitment office.",4.0,google,positive,0.3522222222222222,positive,75,75,0.0,0.934,0.066,0.6369,positive,0.01195225864648819,0.42865416407585144,0.559393584728241
26,Headcount,18/04/2022,No response...even negative,2.0,google,negative,-0.3,negative,25,25,0.855,0.145,0.0,-0.7096,negative,0.828473687171936,0.15783323347568512,0.01369310263544321
27,Headcount,29/04/2020,This is a headcount company that does not make you feel like a number.,4.0,google,neutral,0.0,positive,75,50,0.0,0.725,0.275,0.4215,positive,0.5990968346595764,0.3782811164855957,0.02262205258011818
28,Kohera,29/04/2018,Awesome consultants! They know what they are talking about. Q,5.0,google,positive,1.0,positive,100,100,0.0,0.646,0.354,0.6588,positive,0.004078073892742395,0.011779316700994968,0.984142541885376
29,Infront,29/04/2017,CRM ten top!,5.0,google,positive,0.3125,positive,100,75,0.0,0.489,0.511,0.2714,positive,0.007607950363308191,0.5177434086799622,0.47464877367019653
30,Polaris Digital Commerce,29/07/2021,Super team to assist with all things e-commerce. Guidance from A to Z!,5.0,google,positive,0.41666666666666663,positive,100,75,0.0,0.724,0.276,0.636,positive,0.003017356153577566,0.017907369881868362,0.9790751934051514
31,"
SBI Consulting",13/01/2021,"Positive: Quality, Professionalism",5.0,google,positive,0.22727272727272727,positive,100,75,0.0,0.357,0.643,0.5574,positive,0.013404876925051212,0.2985271215438843,0.6880679130554199
32,SecWise NV,29/07/2021,SecWise helped us in implementing our cloud cyber security controls as part of our general cyber security maturity program. Their skilled consultants in Azure and Office 365 acted professional and efficient in the different security projects from pilot to production. Finally our security maturity increased heavily.,5.0,google,positive,0.075,positive,100,75,0.0,0.734,0.266,0.91,positive,0.005736632272601128,0.08302184194326401,0.9112415909767151
33,SecWise NV,29/07/2021,"
Positive: Professionalism",5.0,google,positive,0.22727272727272727,positive,100,75,0.0,0.217,0.783,0.5574,positive,0.10500861704349518,0.595726728439331,0.29926466941833496
34,Smartsys N.V. - Uw IT onder controle,29/07/2021,Good,5.0,google,positive,0.7,positive,100,75,0.0,0.0,1.0,0.4404,positive,0.05273504555225372,0.26282766461372375,0.6844372153282166
35,"
Uptime Group",29/04/2018,The best employer ICT from Flanders,5.0,google,positive,1.0,positive,100,100,0.0,0.543,0.457,0.6369,positive,0.004220707807689905,0.06628506630659103,0.9294942617416382
36,"
Uptime Group",29/04/2021,The Best,5.0,google,positive,1.0,positive,100,100,0.0,0.192,0.808,0.6369,positive,0.009724543429911137,0.04915770888328552,0.9411177039146423
37,"
Uptime Group",29/04/2018,Place of knowledge,5.0,google,neutral,0.0,positive,100,50,0.0,1.0,0.0,0.0,neutral,0.03925188258290291,0.7033008337020874,0.25744718313217163
38,"
Uptime Group",29/04/2020,"Loyal partner Uptime to pay a surprise visit and thank you for organizing ICT @ the movies together. Really a top event and we could never do this without our partners! #thanks
",5.0,google,positive,0.38611111111111107,positive,100,75,0.039,0.676,0.284,0.8264,positive,0.0031291600316762924,0.012605398893356323,0.9842654466629028
39,"
Uptime Group",29/04/2017," My newest job! new challenge, super colleagues!
",5.0,google,positive,0.2765151515151515,positive,100,75,0.0,0.464,0.536,0.6988,positive,0.003420890076085925,0.009436780586838722,0.9871422052383423
40,"
Uptime Group",29/04/2020,"
Very pleasant encounters!",5.0,google,positive,1.0,positive,100,100,0.0,0.34,0.66,0.5974,positive,0.00992515031248331,0.025155726820230484,0.9649190902709961
41,"
Uptime Group",29/04/2018,"
Dear people, best workplace",5.0,google,positive,1.0,positive,100,100,0.0,0.227,0.773,0.7783,positive,0.009818466380238533,0.035677045583724976,0.9545044898986816
42,"
Uptime Group",29/04/2016,"
Kronos group",5.0,google,neutral,0.0,positive,100,50,0.0,1.0,0.0,0.0,neutral,0.09075860679149628,0.7352465987205505,0.1739947348833084
43,Cronos International,09/02/2022,"Competitive salary and some nice extras. Helpful office staff. Stable job as you are employed full-time by Cronos, even the client ends your contract, you are back on the bench until they find another suitable client and project you fit it.Diversity of colleagues, multi-nationals.Home internet subscription, mobile subscription, meal vouchers are included in the salary (cash), public transport abonnement., Treated consultants working on-site (at EU institutions) poorer than the ones sitting at the HQ. No offers for career developments, no trainings offered, only Linkedin Learning courses which you had to take while your clients were not operating. Hiring unqualified staff sometimes could ruin the whole team. (eg: hiring so-called senior dev while the person was clearly unqualified and eventually left the company and the project with a lot of mess behind for the rest of the team to fix).But this was before they rebranded themselves to Cronos Europa. Hopefully things changed after the new management.",3.0,glassdoor,positive,0.10472027972027968,positive,50,75,0.076,0.823,0.101,0.4939,positive,0.03902489319443703,0.37278732657432556,0.5881878137588501
44,Cronos International,23/03/2019,"No advantage for this employer, the Helpdesk Support which are sent to the field in European institutions, are treated as less than nothing - work in the chain, without any possibility of evolution - the stress is enormous and the workplaceis little amicable - colleagues are horrible - low salary",1.0,glassdoor,negative,-0.22569444444444442,negative,0,25,0.192,0.723,0.085,-0.7096,negative,0.923662006855011,0.06856157630681992,0.007776503451168537
45,Cronos International,17/12/2021,"Since the management changed, they are trying to make the company more equal for all the employees, with better structures and communication.
A lot of opportunities for IT employees and freelancers within the EU institutions.
Permanent contracts for employees.
Flex Income Plan., Like all the rest of consultancies, and maybe fewer cons.",5.0,glassdoor,positive,0.3333333333333333,positive,100,75,0.0,0.833,0.167,0.8126,positive,0.011556040495634079,0.27668195962905884,0.7117619514465332
46,Cronos International,08/09/2021,"This is a consultancy company that works mainly for the European institutions through the framework contract that they have.Working for the institutions is good especially if you want later pursuit a career as a civil servant , this could be a good starting step into the EU buble.Usually it is possible to work as a Freelancer or Employee i would advice freelance because cronos adds nothing to the table if you are competent in what you do, in IT you won't be out of job and the European Institutions are a very stable client.Position in the European Institutions.Overall if a career withing the EU Buble is what you seek, it might be a suitable company if you work freelance., Lack of Transparency, do not explain how things work, no career support nothing.No Culture whatsoever Poor on boarding, as said before nothing is really clear with them.As with other consultancy companies at the end of the day, you are a number for them.Low Salary if you are an employee.Adds nothing in terms of value, only if the contract with the client expires they will find something for you and you won't be out of a job.European Institutions in technological terms are behind in many aspects and IT is not their priority, but this depends of where you are placed.",2.0,glassdoor,positive,0.13114035087719297,negative,25,75,0.032,0.891,0.076,0.6628,positive,0.02053253725171089,0.2974940240383148,0.6819735169410706
47,Cronos International,08/01/2021,"Always takes care of your professional status, There is no negative point that I have experienced, so far",5.0,glassdoor,positive,0.28750000000000003,positive,100,75,0.255,0.606,0.139,-0.4019,negative,0.037983961403369904,0.31269344687461853,0.649322509765625
48,Cronos International,20/11/2019,"They respect you and as an employee you are fully insured.Permanent contracts A lot of opportunities., Some times you have to push a little harder to get what you want",5.0,glassdoor,negative,-0.14375,positive,100,25,0.0,0.855,0.145,0.5267,positive,0.03417340666055679,0.38498687744140625,0.5808397531509399
49,Cronos International,14/04/2019,"Multicultural and challenging environment, Nothing, this company is great",5.0,glassdoor,positive,0.65,positive,100,75,0.0,0.551,0.449,0.6908,positive,0.00846481416374445,0.02939307689666748,0.9621421694755554
50,Cronos International,03/05/2018,"Smooth collaboration procedures, minimum interaction, pays on time, helpful., No other interesting clients apart from European institutions",5.0,glassdoor,positive,0.240625,positive,100,75,0.111,0.754,0.136,0.128,positive,0.020294737070798874,0.1820438653230667,0.7976614236831665
51,Cronos International,04/07/2016,"(As consultant in external premises)Offers number of positions in European Institutions, (As consultant in external premises)Brings no support for career advice and growthProvides almost no information about company news, status, contracts (= lack of transparency)Even by changing position, getting higher salary is very difficult",2.0,glassdoor,negative,-0.08,negative,25,25,0.177,0.689,0.134,-0.3167,negative,0.7817960977554321,0.20846465229988098,0.009739168919622898
52,Cronos International,20/05/2019,"They find you a client and you go as a consultant.They have a correctly attractive package.Serious player with the EC, good place to start as a junior, Attractive Package, Less people oriented than it used to be",3.0,indeed,positive,0.5333333333333333,positive,50,75,0.0,0.775,0.225,0.8271,positive,0.015485082753002644,0.17232146859169006,0.8121934533119202
53,Arxus,18/02/2019,"Flat Structure cool business atmosphere -pleasant employee -like remuneration Fine Work Events, Flexdesk Policysoms too informal structure",5.0,glassdoor,positive,0.36874999999999997,positive,100,75,0.0,0.568,0.432,0.836,positive,0.00817461870610714,0.10910305380821228,0.8827223181724548
54,Big Industries,26/03/2021,"You can drive your own carreer.Good benefits.Healthy worklife balance.Interesting projects.Cutting edge technologies.Long term experience in (big) data world., Employees build up such useful experience which gives them so many options, that it is hard to keep them for years. They are distracted by recruiters all the time.",5.0,glassdoor,positive,0.1847222222222222,positive,100,75,0.075,0.868,0.057,0.0258,neutral,0.011975237168371677,0.10925454646348953,0.8787702322006226
55,Biztory,21/08/2021,"Very keen on Personal Development. Actively encourage studying for Certifications. Open and friendly leadership that actually care. Great team that are all willing to support each other.Access to a great Hive Mind (If you don’t know / can’t find an answer, someone here will help).Work from Home and Work from Office fully supported.Work / Life Balance is about right,Learning support is also for those non tech / personal subject.Actively recruiting new team members.I’ve been here less than a year so far but this is one of the best places I’ve worked and perhaps most importantly the best team I’ve had the pleasure of working with., The breadth of skills required for clients could be challenging at times. Sometimes the learning can be a little much.Long working hours, especially when with clients however are flexible when they can be (bench days).The huge growth may end up diluting some of the things that make Biztory a great place to work. No signs of it yet, but I’ve seen it happen before.",5.0,glassdoor,positive,0.3079028925619835,positive,100,75,0.014,0.712,0.274,0.994,positive,0.008180709555745125,0.05871513858437538,0.9331041574478149
56,Biztory,23/01/2017,"The team itself is excellent, the product is also very exciting. However, management's expectations are far too high. Added to this is the derogatory behavior towards employees in sales. An important experience nonetheless. Company car, too many overtime hours and no compensation",2.0,indeed,positive,0.42500000000000004,negative,25,75,0.045,0.772,0.183,0.7778,positive,0.14897584915161133,0.1645425409078598,0.6864815354347229
57,Codesense,25/10/2021,"Colleagues, open company spring, professional and pragmatic, consulting, growing, possibilities is also choice stress",5.0,glassdoor,positive,0.05,positive,100,75,0.17,0.727,0.103,-0.2732,negative,0.07397662848234177,0.8159017562866211,0.11012160778045654
58,"Cronos Interactive ",13/03/2019,"Fun, lively company with a focus on delivering great products. plan posts for the day/coming days, read up on emails and social media posts, discuss PR & marketing strategies, planning for our Game Expo: 1UP, making visuals for posts to share, talking with the devs and giving feedback on their games, new tools to use, news skills (photoshop, Premiere...), content planning. putting deadlines on others to get my content in time. Great superior, doesn't not feel like a typical boss/employee relationship. Open to suggestions and feedback. Flexible hours, expecting only for your job to be done by reasonable deadlines, fun colleagues who like to chat during lunch and play a game afterwards. Fun group to hang out with. managing my time. there is a lot to be done and I always see ways to improve my work so the stopping point is hard to determine. Bybthe very nature of the job (social media) it also means I have to put in some work outside of office hours, Working with a great team, in a company working on VIDEO GAMES: my lifelong dream. It's a culture I've been invested in since pretty much forever and now I get to work in the industry. Flexible hours, Extra benefits (car, phone, laptop), the actual job is fun to do subpar public transport connection",5.0,indeed,positive,0.15300224466891135,positive,100,75,0.013,0.756,0.231,0.9942,positive,0.005450650118291378,0.06331910192966461,0.9312301874160767
59,Crosspoint Solutions,24/07/2021,"interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork.interesting work, good teamwork., poorly managed. poorly thought out, no sales, no incomepoorly managed. poorly thought out, no sales, no incomepoorly managed. poorly thought out, no sales, no incomepoorly managed. poorly thought out, no sales, no income",1.0,glassdoor,positive,0.29285714285714276,negative,0,75,0.208,0.485,0.307,0.8834,positive,0.01983124576508999,0.17485827207565308,0.8053104877471924
60,Crosspoint Solutions,29/07/2017,"Decent Product; fun work;  good group of employees., Senior managements were not directed to save the company.",3.0,glassdoor,positive,0.38888888888888884,positive,50,75,0.115,0.613,0.272,0.5532,positive,0.035348452627658844,0.09852742403745651,0.866124153137207
61,Crosspoint Solutions,16/05/2015,"Great co-workers. Great benefits very good work conditions., Very lacking in the sales dept.",4.0,glassdoor,positive,0.6775,positive,75,75,0.0,0.417,0.583,0.9324,positive,0.009808817878365517,0.027200963348150253,0.9629901647567749
62,Crosspoint Solutions,20/12/2014,"Good company to work with, Focus more on growing business",3.0,glassdoor,positive,0.6,positive,50,75,0.0,0.621,0.379,0.5965,positive,0.00595242390409112,0.029269549995660782,0.9647780656814575
63,Crosspoint Solutions,16/05/2014,"Good product with great potential, Management to suited for their role in company.",1.0,glassdoor,positive,0.5,negative,0,75,0.0,0.611,0.389,0.7906,positive,0.008456462994217873,0.03582780435681343,0.9557158350944519
64,Dynatos,14/03/2022,"A lot of independence, but also good team atmosphere.Career opportunities.Open corporate culture., Less transparency, in several areas.Questional politics.",4.0,glassdoor,positive,0.13333333333333333,positive,75,75,0.0,0.806,0.194,0.5927,positive,0.01784711889922619,0.1849588304758072,0.7971940636634827
65,Dynatos,09/02/2022,"Good professional organization with room for advancement, Must be an self-advocate to be recognized",4.0,glassdoor,positive,0.39999999999999997,positive,75,75,0.0,0.818,0.182,0.4404,positive,0.007931269705295563,0.11660977452993393,0.8754589557647705
66,Dynatos,25/04/2021,"Excellent benefits and comparable salary, excellent company for benefits and training",5.0,glassdoor,positive,1.0,positive,100,100,0.0,0.357,0.643,0.9118,positive,0.004972170107066631,0.02248322404921055,0.9725447297096252
67,Flexso,28/04/2021,"Good atmosphere, very friendly and nice events, Sometimes there is long benchmark time",4.0,glassdoor,positive,0.434375,positive,75,75,0.0,0.514,0.486,0.8576,positive,0.006643500179052353,0.02966262213885784,0.9636937975883484
68,Flexso,27/01/2021,"Great people, nice spirit, interesting projects., Nothing that I can think of.",5.0,glassdoor,positive,0.6333333333333333,positive,100,75,0.0,0.383,0.617,0.8834,positive,0.010234472341835499,0.033670637756586075,0.9560950398445129
69,Flexso,19/01/2021,"Good general feelings,Great colleagues and good management., Depending on the customer, It's a really good company",5.0,glassdoor,positive,0.5375,positive,100,75,0.0,0.58,0.42,0.8271,positive,0.005448885727673769,0.015211047604680061,0.9793400168418884
70,Flexso,02/01/2021,"Good coworkers, opportunity to learn,, Would like to be paid more",4.0,glassdoor,positive,0.6,positive,75,75,0.0,0.494,0.506,0.802,positive,0.007200898602604866,0.029242122545838356,0.9635570049285889
71,Flexso,16/06/2019,"- Very people oriented
- Loads of fun and interesting projects
- Very flexible in terms of making the match between what consultants and customers want
- Clear strategy and purpose of the company
- Flat oriented structure
- Amazing celebrations, BBQ, and parties where your partner is also welcome
- Offices in Ghent, Kontich, Waver and even in Vienna
- A lot of investment in knowledge sharing and trainings like in S/4 HANA
- Awesome car policy! 
- Great competence leads in every domain of SAP at Flexso 
- Part of Cronos, - A flat structure causes a bit of chaos and miscommunication sometimes",5.0,glassdoor,positive,0.40454545454545454,positive,100,75,0.032,0.663,0.305,0.9829,positive,0.013849446550011635,0.1911587417125702,0.7949917316436768
72,Flexso,15/05/2019,"- Very good organizational culture- Flat company- Good Colleagues, - Salary- Not much interesting projects",3.0,glassdoor,positive,0.33375,positive,50,75,0.123,0.545,0.332,0.5907,positive,0.011386633850634098,0.08387190848588943,0.9047415256500244
73,Flexso,25/03/2019,"traditional package + many internal trainings, external activities, excellent communication., insufficient critical mass in Wavre => reduce drasticaly projects possibilities in the Walloon Region => get ready to go for miles and hours of traffic jam  :-(",4.0,glassdoor,positive,0.11875,positive,75,75,0.112,0.744,0.144,0.34,positive,0.8752955198287964,0.11703474819660187,0.007669693324714899
74,Flexso,15/03/2022,"- Family spirit- horizontal structure- various advantages (car, bonus, 13th month, etc.),- nothing to report about the drawbacks.",5.0,glassdoor,neutral,0.0,positive,100,50,0.0,0.645,0.355,0.7717,positive,0.02405778132379055,0.6295674443244934,0.3463748097419739
75,Flexso,20/01/2022,"Listening box of its super interesting employees and projects, I am very happy at Flexso",5.0,glassdoor,positive,0.611111111111111,positive,100,75,0.0,0.509,0.491,0.8908,positive,0.0029863750096410513,0.0088272076100111,0.9881863594055176
76,Flexso,16/08/2021,"Good balance work/private life for atmosphere within the flexible team in many points, absence of a prolonged project sometimes too long",5.0,glassdoor,positive,0.284375,positive,100,75,0.0,0.789,0.211,0.5859,positive,0.025248922407627106,0.19619524478912354,0.7785559296607971
77,Flexso,26/07/2020,"Get out of your comfort zone to be sure that you no longer trust the false benevolence of others, imagine, you pass a job interview in French, you are asked about your experience and qualification then we finish with your level of language language . And that you specify that it is your weakness, that you barely manage, that you understand the other requested languages ​​but that you do not speak them. Elements precise on your CV and the recruiter encountered a week earlier. Then imagine being engaged and being catapulted into a purely English -speaking environment, nobody speaks your language, you understand almost everything but are unable to answer. That then your silence/mutism poses concern, and that when you specify not to speak the language, we retort: ​​""But you passed your interview in English however"". Your disarray in the face of the situation pushes you to take intensive evening lessons for several evenings for a few months to unlock yourself, and you get there. Awesome! But the project ends and we then catapult you in a Dutch -speaking environment, what a surprise, faced with the efforts undertaken, you let go of it because it is too ... reproaches follow ... and finally you are assigned to a French -speaking project ... but it's too late ... You have found a new job ... It's not that simple, we don't want to let you go, suddenly you tell yourself that you are not So no one, it looks like ... You manage to leave this toxic environment, call a cat, a cat! And there, surprise, your former employer contacts your new employer to discredit you and accuses you of having lied to your profile , so that he commits you, he informs him that not, but he insists, ... offers him to see himself ... Contact from other knowledge to you ... What would you have done?",1.0,glassdoor,positive,0.029249011857707504,negative,0,75,0.047,0.875,0.078,0.8792,positive,0.36629021167755127,0.5817874670028687,0.05192225053906441
78,Flexso,15/05/2020,"Good atmosphere, nice events, good knowledge sharing, salary is sometimes a little limited and difficult to improve ...",5.0,glassdoor,positive,0.20684523809523805,positive,100,75,0.137,0.355,0.508,0.8874,positive,0.023976759985089302,0.10997408628463745,0.8660492300987244
79,Flexso,12/02/2020,"Good atmosphere, good extra, good pay (better than competition for an Entry-Level), you have to be flexible, as a consultant you have to be ready to be on a project in Brussels, Wallonia or Luxembourg.By cons everything is covered in terms of costs.",4.0,glassdoor,positive,0.4666666666666666,positive,75,75,0.028,0.707,0.265,0.8934,positive,0.014273724518716335,0.19823113083839417,0.7874951362609863
80,Flexso,24/07/2019,"Very good work atmosphere, listening direction and close to employees, wages that are too low (but it's the same with other companies in this sector in Belgium)",5.0,glassdoor,positive,0.19624999999999998,positive,100,75,0.069,0.825,0.105,0.2716,positive,0.01995689608156681,0.08073540031909943,0.8993077278137207
81,Flexso,04/10/2018,"Family, understanding, flexible, support, training ..., there are no drawbacks",5.0,glassdoor,neutral,0.0,positive,100,50,0.159,0.507,0.333,0.34,positive,0.029138663783669472,0.3307728171348572,0.6400885581970215
82,Flexso,12/02/2022,- fun business atmosphere and culture- many learn- good remuneration- not really experienced negative points,5.0,glassdoor,positive,0.16,positive,100,75,0.0,0.539,0.461,0.8557,positive,0.01218259148299694,0.05318748950958252,0.9346300363540649
83,Flexso,26/08/2021,"Flexible, good culture, trust, freedom and fun colleagues, chairs, coffee, No standing desks, building accessibility",4.0,glassdoor,positive,0.5,positive,75,75,0.082,0.336,0.582,0.9246,positive,0.00798092596232891,0.1280220001935959,0.8639970421791077
84,Flexso,27/01/2021,"SAP service provider that is fully set up around a number of core values: openness, transparency, long -term vision, innovation, ... and these core values also return to all the ranks of the company.The company therefore has a very good reputation with both customers and employees.I myself came on board through mouth-to-mouth and now I am happy to spread the good word further.The company is doing everything it can (knowledge sharing sessions, active Yammer platform, fun activities) to give the consultants, who of course are more often with customers than in Kontich/Ghent/Wavre/Utrecht/Vienna, a real flexso feeling. The level ofThe average employee is very high and there are enough examples internally to really look up and learn from., due to the high involvement and flexibility of the average Flexso employee, the boundary between private and work sometimes dares to be exceeded, butYou are happy to take that!",5.0,glassdoor,positive,0.2570392156862745,positive,100,75,0.0,0.758,0.242,0.9886,positive,0.005824648775160313,0.11285963654518127,0.8813155889511108
85,Flexso,14/01/2021,"Nice colleagues, great projects with great customers, good knowledge sharing and possibilities to determine your own path., I have no negative experiences",5.0,glassdoor,positive,0.6083333333333334,positive,100,75,0.161,0.383,0.456,0.8957,positive,0.008195972070097923,0.03302984684705734,0.9587741494178772
86,Flexso,13/05/2020,"Culture, atmosphere, ambitious company, strong in the market, little structure, very wide portfolio, limited coaching",5.0,glassdoor,positive,0.05888095238095239,positive,100,75,0.105,0.584,0.311,0.6412,positive,0.011707349680364132,0.13754987716674805,0.850742757320404
87,Flexso,08/10/2019,"Flexso is not a standard consultancy company.Here are teamwork and continue to learn the key components.Everyone works together on a project and knowledge sharing is very important!That is sometimes missing from other major players. During the hours as afterwards, there is room to also forge a friendly bond with your colleagues.So I can only be positive about Flexso.Of course it is also very nice to grow within one of, if not the largest, SAP player in Belgium., That absolutely does not apply here",5.0,glassdoor,positive,0.1381611570247934,positive,100,75,0.025,0.83,0.146,0.8953,positive,0.038661692291498184,0.30460044741630554,0.6567378640174866
88,Flexso,02/08/2017,"- Interesting customers and projects- invests strongly growing player on the SAP market in innovation, especially in S4/HANA implementations- pleasant culture, attaches great importance to the satisfaction of their consultants,- little to no global reach, very focused on the BelgianMarket- Not always large projects (Bodyshopping)",4.0,glassdoor,positive,0.2992724867724868,positive,75,75,0.032,0.543,0.426,0.9681,positive,0.0075654215179383755,0.08305578678846359,0.909378707408905
89,Go4Logistics,06/05/2020,"- A wonderful work team - flexible time, - work on a single project (company product)",5.0,glassdoor,positive,0.4642857142857143,positive,100,75,0.0,0.616,0.384,0.6808,positive,0.003926534671336412,0.02788919396698475,0.968184232711792
90,Go4Logistics,06/01/2022,"- Flexible working hours happens, - No project management or planning
- No schema for growing
- Non standard procedure
- Lots of stress
-Poor salaries",1.0,glassdoor,negative,-0.2,negative,0,25,0.356,0.519,0.125,-0.7717,negative,0.48946669697761536,0.4578667879104614,0.052666448056697845
91,Go4Logistics,30/09/2020,"Flat Hierarchy , Part of Cronos Group, none, tight deadlines, no international operations",3.0,glassdoor,negative,-0.06785714285714285,positive,50,25,0.0,0.854,0.146,0.2235,positive,0.1773194521665573,0.7522086501121521,0.07047193497419357
